제품ID,제품명,대분류,브랜드,정가,할인율,판매가,리뷰점수,리뷰수,제품URL,이미지URL,가로_W(mm),높이_H(mm),깊이_D(mm),소분류,카테고리코드,재고,쿠폰할인,타임세일,벤더사,가격_등급,가성비_점수,실구매가_추정,인기도_점수,리뷰_신뢰도,소재_등급,천연소재_여부,친환경_여부,관리_용이성,브랜드_등급,브랜드_원산지,색상_계열,디자인_스타일,점유면적(cm²),크기_등급,침대_사이즈,소파_인원수,식탁_인원수,무료배송_여부,설치포함_여부,배송_편의점수,1인가구_적합도,신혼부부_적합도,대가족_적합도,공간절약형_적합도,재고_여부,반려동물_적합도,A/S 책임자와 전화번호,KC 인증 필 유무,구성품,"배송,설치비용",색상,제조국,제조자,주요 소재,크기,품명,품질보증기준
G25070005743,벨로씨 레보르 천연면피 가죽 소파 4인＋스툴,소파,까사미아,1848000,22,1431000,4.8,18,https://homestyle.lge.co.kr/item?productId=G25070005743,https://static-store.lge.co.kr/goods/org/073251020000078073.jpg,2910,910,1020,일반소파,2506000070,1509,Y,N,(주)신세계까사,저가,10,1431000,100,0.7638,프리미엄,TRUE,TRUE,5,중급,국내,화이트계,모던 클래식,29682,대,,4,,FALSE,FALSE,0,1,3,4,1,있음,5,벨로씨 고객센터 070-7701-7271,#NAME?,4인 소파 + 스툴,상품상세 참조,"카멜브라운, 크림아이보리",중국,벨로씨OEM,"[마감재] 천연면피 소가죽+합성가죽 / [내장재] 정제목, E0합판, HR고밀도스펀지, 화이바솜, 엘라스틱밴드 / [다리] 스틸",[4인] W2910 X D1020 X H910mm / [스툴] W740 X D660 X H410mm,레보르(LEVOR) 천연면피 가죽 소파 4인용+스툴,[벨로씨]품질보증기간은 제품불량의 경우 최초구매일자로 부터 1년이내 무상 A/S. 이외의 사항은 상세페이지 참고
G25070005742,벨로씨 레보르 천연면피 가죽 소파 4인,소파,까사미아,1550000,23,1185700,4.4,5,https://homestyle.lge.co.kr/item?productId=G25070005742,https://static-store.lge.co.kr/goods/org/089/251125000104089.jpg,2910,910,1020,일반소파,2506000070,1572,Y,N,(주)신세계까사,저가,5.65,1185700,99.7,0.4444,프리미엄,TRUE,TRUE,5,중급,국내,화이트계,모던 클래식,29682,대,,4,,FALSE,FALSE,0,1,3,4,1,있음,5,벨로씨 고객센터 070-7701-7271,#NAME?,4인 소파,상품상세 참조,"카멜브라운, 크림아이보리",중국,벨로씨OEM,"[마감재] 천연면피 소가죽+합성가죽 / [내장재] 정제목, E0합판, HR고밀도스펀지, 화이바솜, 엘라스틱밴드 / [다리] 스틸",W2910 X D1020 X H910mm,레보르(LEVOR) 천연면피 가죽 소파 4인용,[벨로씨]품질보증기간은 제품불량의 경우 최초구매일자로 부터 1년이내 무상 A/S. 이외의 사항은 상세페이지 참고
G25070001780,쿠르셀 사이드 테이블 협탁 (3 color),식탁·테이블,드비저리,330000,15,280500,3,2,https://homestyle.lge.co.kr/item?productId=G25070001780,https://static-store.lge.co.kr/goods/org/385/250723000005385.jpg,330,610,450,사이드테이블,2506000067,2999997,Y,N,오하이,저가,5.29,280500,99.9,0.1316,미분류,FALSE,FALSE,5,일반,국내,화이트계,기타,1485,소,,,1,FALSE,FALSE,0,3,0,0,3,있음,3,드비저리 고객센터 010-8261-5957,해당사항 없음,사이드 테이블,상세페이지 하단 참조,"빈티지레더, 크림, 블랙",베트남,de Bejarry,"풀 그레인 레더, 스테인리스 스틸",W 33 X D 45 X H 61 cm,드비저리 쿠르셀 사이드 테이블,상세페이지 하단 참조
G25070005745,벨로씨 레보르 천연면피 가죽 소파 3인 ＋스툴,소파,까사미아,1548000,19,1251000,5,5,https://homestyle.lge.co.kr/item?productId=G25070005745,https://static-store.lge.co.kr/goods/org/092/251125000104092.jpg,2160,910,1020,일반소파,2506000070,974,Y,N,(주)신세계까사,저가,6.4,1251000,99.9,0.5655,프리미엄,TRUE,TRUE,5,중급,국내,화이트계,모던 클래식,22032,대,,3,,FALSE,FALSE,0,1,3,4,1,있음,5,벨로씨 고객센터 070-7701-7271,#NAME?,3인 소파 + 스툴,상품상세 참조,"카멜브라운, 크림아이보리",중국,벨로씨OEM,"[마감재] 천연면피 소가죽+합성가죽 / [내장재] 정제목, E0합판, HR고밀도스펀지, 화이바솜, 엘라스틱밴드 / [다리] 스틸",[3인] W2160 X D1020 X H910mm / [스툴] W740 X D660 X H410mm,레보르(LEVOR) 천연면피 가죽 소파 3인용+스툴,[벨로씨]품질보증기간은 제품불량의 경우 최초구매일자로 부터 1년이내 무상 A/S. 이외의 사항은 상세페이지 참고
G25070004689,NEW 옴므 1인 리클라이너_브라운 _브라운,소파,까사미아,715000,29,501900,5,1,https://homestyle.lge.co.kr/item?productId=G25070004689,https://static-store.lge.co.kr/goods/org/210250729000023210.jpg,770,900,750,일반소파,2506000070,526,Y,N,(주)신세계까사,저가,2.65,501900,98.9,0.2065,프리미엄,TRUE,FALSE,5,중급,국내,우드·브라운계,내추럴 우드,5775,소,,1,,FALSE,FALSE,0,4,2,0,3,있음,4,까사미아 고객센터 1588-3408,-,옴므 1인 리클라이너_브라운,상세 PAGE 참조,브라운,중국,까사미아OEM,"[가죽] TG 천연 소가죽 외피 (두께 1~1.1mm)+ PVC [프레임 ] 플라이우드(함수율 8~12% ) [내장재 ] D30kg/㎥ PU스펀지 , S자 스프링 [다리] 스틸 (satin 마감)",W770X D750-1100 X H900-1000(SH440)mm,옴므 1인 리클라이너_브라운,소비자보호법에 의거하여 구입일로부터 1년간 무상 A/S
G25070005746,벨로씨 레보르 천연면피 가죽 소파 3인,소파,까사미아,1250000,23,956200,5,1,https://homestyle.lge.co.kr/item?productId=G25070005746,https://static-store.lge.co.kr/goods/org/095/251125000104095.jpg,2160,910,1020,일반소파,2506000070,10868,Y,N,(주)신세계까사,저가,2.52,956200,98.9,0.2065,프리미엄,TRUE,TRUE,5,중급,국내,화이트계,모던 클래식,22032,대,,3,,FALSE,FALSE,0,1,3,4,1,있음,5,벨로씨 고객센터 070-7701-7271,#NAME?,3인 소파,상품상세 참조,"카멜 브라운, 크림아이보리",중국,벨로씨OEM,"[마감재] 천연면피 소가죽+합성가죽 / [내장재] 정제목, E0합판, HR고밀도스펀지, 화이바솜, 엘라스틱밴드 / [다리] 스틸",W2160 X D1020 X H910mm,레보르(LEVOR) 천연면피 가죽 소파 3인용,[벨로씨]품질보증기간은 제품불량의 경우 최초구매일자로 부터 1년이내 무상 A/S. 이외의 사항은 상세페이지 참고
G25070005670,벨로씨 레보르 기능성 패브릭 소파 4인＋스툴,소파,까사미아,1660000,41,963000,5,1,https://homestyle.lge.co.kr/item?productId=G25070005670,https://static-store.lge.co.kr/goods/org/306/251218000120306.jpg,2910,910,1020,일반소파,2506000070,68,Y,N,(주)신세계까사,저가,2.52,963000,98.9,0.2065,일반,FALSE,TRUE,5,중급,국내,화이트계,클래식,29682,대,,4,,FALSE,FALSE,0,1,1,4,1,있음,3,벨로씨 고객센터 070-7701-7271,#NAME?,4인 소파 + 스툴,상품상세 참조,클라우드 화이트,중국,벨로씨OEM,"[마감재] 패브릭 / [내장재] 정제목, E0합판, HR고밀도스펀지, 화이바솜, 엘라스틱밴드 / [다리] 스틸",[4인] W2910 X D1020 X H910mm / [스툴] W740 X D660 X H410mm,레보르 기능성 패브릭 소파 4인용+스툴,[벨로씨]품질보증기간은 제품불량의 경우 최초구매일자로 부터 1년이내 무상 A/S. 이외의 사항은 상세페이지 참고
G25070004583,캄포미니 4인소파 카우치형_아이보리,소파,까사미아,2380000,25,1785000,5,2,https://homestyle.lge.co.kr/item?productId=G25070004583,https://static-store.lge.co.kr/goods/org/642250729000022642.jpg,2670,600,1900,일반소파,2506000070,231,N,N,(주)신세계까사,중저가,3.83,1785000,99.6,0.3424,미분류,FALSE,FALSE,3,중급,국내,화이트계,기타,50730,대,,4,,FALSE,FALSE,0,1,1,3,1,있음,0,까사미아 고객센터 1588-3408,안전기준준수,모듈소파 2EA + 암리스 1EA + 오토만 1EA,상세페이지 참조,아이보리,중국,까사미아OEM,상세페이지 참조,W2670 X D1900 X H600-950mm,캄포미니 4인소파 카우치형_아이보리,"정상적인 사용 범위에서 발생한 품질, 성능 등 제조상 하자에 대하여 3년간 무상 A/S (상품 인도일 기준, 일부 사용상 하자 제외, 그 외 보증 범위가 없는 경우 소비자 분쟁 해결 기준에 따름)"
G25070006397,벨로씨 레보르 기능성 패브릭 소파 3인,소파,까사미아,990000,45,540000,0,0,https://homestyle.lge.co.kr/item?productId=G25070006397,https://static-store.lge.co.kr/goods/org/821/250806000034821.jpg,2160,910,1020,일반소파,2506000070,71,Y,N,(주)신세계까사,저가,0,540000,49.1,0,일반,FALSE,TRUE,5,중급,국내,화이트계,클래식,22032,대,,3,,FALSE,FALSE,0,1,1,4,1,있음,3,벨로씨 고객센터 070-7701-7271,#NAME?,3인 소파,상품상세 참조,클라우드 화이트,중국,벨로씨OEM,"[마감재] 패브릭 / [내장재] 정제목, E0합판, HR고밀도스펀지, 화이바솜, 엘라스틱밴드 / [다리] 스틸",W2160 X D1020 X H910mm,레보르 기능성 패브릭 소파 3인용,[벨로씨]품질보증기간은 제품불량의 경우 최초구매일자로 부터 1년이내 무상 A/S. 이외의 사항은 상세페이지 참고
G25070005668,벨로씨 레보르 기능성 패브릭 소파 3인＋스툴,소파,까사미아,1260000,45,684000,0,0,https://homestyle.lge.co.kr/item?productId=G25070005668,https://static-store.lge.co.kr/goods/org/308/251218000120308.jpg,2160,910,1020,일반소파,2506000070,78,Y,N,(주)신세계까사,저가,0,684000,49.1,0,일반,FALSE,TRUE,5,중급,국내,화이트계,클래식,22032,대,,3,,FALSE,FALSE,0,1,1,4,1,있음,3,벨로씨 고객센터 070-7701-7271,#NAME?,3인 소파 + 스툴,상품상세 참조,클라우드 화이트,중국,벨로씨OEM,"[마감재] 패브릭 / [내장재] 정제목, E0합판, HR고밀도스펀지, 화이바솜, 엘라스틱밴드 / [다리] 스틸",[3인] W2160 X D1020 X H910mm / [스툴] W740 X D660 X H410mm,레보르 기능성 패브릭 소파 3인용+스툴,[벨로씨]품질보증기간은 제품불량의 경우 최초구매일자로 부터 1년이내 무상 A/S. 이외의 사항은 상세페이지 참고
